<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.02.19;12:00:00;1.27080;1.27360;1.26560;1.26730;2030;0;40
2004.02.19;16:00:00;1.26740;1.27350;1.26470;1.27060;2064;0;40
2004.02.19;20:00:00;1.27060;1.27470;1.26820;1.27360;1594;0;40
2004.02.20;00:00:00;1.27390;1.27690;1.27310;1.27570;1512;0;40
2004.02.20;04:00:00;1.27560;1.27580;1.26940;1.27040;1609;0;40
2004.02.20;08:00:00;1.27030;1.27110;1.26200;1.26670;2035;0;40
2004.02.20;12:00:00;1.26660;1.26790;1.26220;1.26370;1980;0;40
2004.02.20;16:00:00;1.26380;1.26410;1.24930;1.25220;2374;0;40
2004.02.20;20:00:00;1.25230;1.25430;1.25010;1.25410;1374;0;40
2004.02.23;00:00:00;1.25170;1.25260;1.24500;1.25000;1879;0;40
2004.02.23;04:00:00;1.25000;1.25390;1.24880;1.25150;1417;0;40
2004.02.23;08:00:00;1.25140;1.25730;1.25070;1.25620;1893;0;40
2004.02.23;12:00:00;1.25630;1.25960;1.25510;1.25750;1875;0;40
2004.02.23;16:00:00;1.25750;1.25890;1.25210;1.25330;1823;0;40
2004.02.23;20:00:00;1.25330;1.25800;1.25210;1.25770;1493;0;40
2004.02.24;00:00:00;1.25760;1.25770;1.25260;1.25310;1411;0;40
2004.02.24;04:00:00;1.25320;1.25510;1.25220;1.25360;1356;0;40
2004.02.24;08:00:00;1.25350;1.26110;1.25270;1.25990;1998;0;40
2004.02.24;12:00:00;1.26010;1.26230;1.25760;1.26110;2099;0;40
2004.02.24;16:00:00;1.26110;1.27120;1.26070;1.26970;2088;0;40
2004.02.24;20:00:00;1.26940;1.27160;1.26720;1.26860;1539;0;40
2004.02.25;00:00:00;1.26830;1.26960;1.26690;1.26930;1281;0;40
2004.02.25;04:00:00;1.26920;1.27020;1.26720;1.26940;1412;0;40
2004.02.25;08:00:00;1.26960;1.27090;1.26570;1.26670;1982;0;40
2004.02.25;12:00:00;1.26670;1.26700;1.26030;1.26280;2180;0;40
2004.02.25;16:00:00;1.26280;1.26390;1.24760;1.25030;2206;0;40
2004.02.25;20:00:00;1.25050;1.25070;1.24870;1.24930;1434;0;40
2004.02.26;00:00:00;1.24890;1.25170;1.24890;1.24990;1415;0;40
2004.02.26;04:00:00;1.24980;1.25140;1.24860;1.24940;1323;0;40
2004.02.26;08:00:00;1.24940;1.25040;1.24160;1.24400;2187;0;40
2004.02.26;12:00:00;1.24410;1.24840;1.23820;1.24630;2199;0;40
2004.02.26;16:00:00;1.24630;1.24700;1.24150;1.24440;2078;0;40
2004.02.26;20:00:00;1.24420;1.24490;1.24260;1.24390;1418;0;40
2004.02.27;00:00:00;1.24400;1.24570;1.24330;1.24490;1257;0;40
2004.02.27;04:00:00;1.24490;1.24580;1.24280;1.24350;1267;0;40
2004.02.27;08:00:00;1.24340;1.24680;1.23710;1.24050;2059;0;40
2004.02.27;12:00:00;1.24070;1.24880;1.23800;1.24780;2360;0;40
2004.02.27;16:00:00;1.24790;1.25100;1.24070;1.24790;2151;0;40
2004.02.27;20:00:00;1.24780;1.25020;1.24730;1.24950;1245;0;40
2004.03.01;00:00:00;1.24810;1.25410;1.24800;1.25100;1468;0;40
2004.03.01;04:00:00;1.25090;1.25300;1.24900;1.25250;1458;0;40
2004.03.01;08:00:00;1.25240;1.25440;1.24610;1.24700;1889;0;40
2004.03.01;12:00:00;1.24710;1.25150;1.24620;1.24920;1938;0;40
2004.03.01;16:00:00;1.24930;1.25080;1.24260;1.24500;1885;0;40
2004.03.01;20:00:00;1.24480;1.24720;1.24320;1.24610;1407;0;40
2004.03.02;00:00:00;1.24630;1.24630;1.24280;1.24350;1327;0;40
2004.03.02;04:00:00;1.24350;1.24490;1.24260;1.24340;1226;0;40
2004.03.02;08:00:00;1.24340;1.24380;1.23850;1.24010;1796;0;40
2004.03.02;12:00:00;1.24000;1.24170;1.23740;1.23920;1926;0;40
2004.03.02;16:00:00;1.23930;1.24190;1.21950;1.22180;2348;0;40
2004.03.02;20:00:00;1.22170;1.22340;1.22060;1.22130;1586;0;40
2004.03.03;00:00:00;1.22140;1.22190;1.21650;1.21840;1696;0;40
2004.03.03;04:00:00;1.21840;1.21970;1.21470;1.21900;1621;0;40
